mlb_ID,seasons_bat,career_PA,avg_offense,total_bat_war,peak_bat_war,seasons_pitch,career_GS,avg_era_plus,total_pitch_war,peak_pitch_war,hof_indicator
110001,23,13941,33.46521739130435,143.07,9.44,0,0,0,0,0,1
110002,7,1045,-7.3428571428571425,-2.77,0.92,0,0,0,0,0,0
110003,13,5,-0.04615384615384615,-0.07,0,13,91,126.58519318431982,15.09,2.54,0
110004,1,49,-0.75,-0.060000000000000005,0.01,0,0,0,0,0,0
110005,9,3478,2.57,8.72,3.63,0,0,0,0,0,0
110006,5,252,-2.033333333333333,-1.01,0.06,5,65,98.59192816885889,1.3199999999999998,1.7,0
110007,5,1965,-10.3,1.78,2.19,1,0,114.8,-0.09,-0.09,0
110008,3,571,-5.033333333333333,0.49000000000000005,1.06,0,0,0,0,0,0
110009,10,24,-0.08181818181818182,-0.1,-0.1,10,254,103.85088074518694,19.7,7.57,0
110010,5,651,-3.94,-1.44,0.03,0,0,0,0,0,0
110011,9,2227,-2.6700000000000004,0.5399999999999998,2.01,0,0,0,0,0,0
110012,4,38,-0.05000000000000002,-0.039999999999999994,0.07,4,22,74.30586988304093,-1.37,0.35,0
110013,1,7,0.1,0.01,0.01,1,1,65.7555555555556,-0.37,-0.37,0
110014,1,82,-5.8,-0.41,-0.41,0,0,0,0,0,0
110015,11,25,0.13333333333333333,0.15,0.11,11,112,92.37224198010004,4.47,2.56,0
110016,11,0,0,0,0,11,206,97.36629986972282,5.26,2.29,0
110017,6,117,-0.39999999999999997,-0.37,0.1,6,30,99.21401515151516,1.0099999999999998,1.41,0
110018,1,4,-1.3,-0.07,-0.07,0,0,0,0,0,0
110019,1,1,-0.1,-0.01,-0.01,1,0,30.4333333333333,-0.09,-0.09,0
110020,3,6,0.03333333333333333,0.01,0.04,3,2,67.26190476190477,-1.2400000000000002,0.06,0
110021,14,205,-0.3411764705882353,-0.66,0.18,14,34,127.10958612630351,16.58,6.17,0
110022,2,8,-0.6,-0.14,0,2,1,78.53666666666666,0.48000000000000004,0.56,0
110023,3,205,-0.5333333333333334,0.10999999999999999,0.45,0,0,0,0,0,0
110024,3,26,-1.2666666666666666,-0.47,-0.09,3,8,75.77750305250304,-1.43,-0.12,0
110025,6,902,-6.271428571428571,-1.33,1.89,0,0,0,0,0,0
110026,8,1943,1.9099999999999997,8.47,3.95,0,0,0,0,0,0
110027,1,1,0.6,0.05,0.05,1,0,43.58,-0.12,-0.12,0
110028,1,9,-1.2,-0.13,-0.13,1,5,63.0941176470588,-0.42,-0.42,0
110029,18,10081,15.345000000000002,60.17,6.56,0,0,0,0,0,0
110030,1,32,0,0.1,0.1,0,0,0,0,0,0
110031,3,676,-6.366666666666667,-0.43999999999999995,0.78,0,0,0,0,0,0
110032,8,74,-0.42000000000000004,-0.44,0.09,8,34,115.83078542778246,3.14,2.99,0
110033,10,56,0.10000000000000002,0.13,0.16,10,32,112.17201966092229,5.47,1.79,0
110034,4,96,-0.875,-0.41,0.04,4,23,110.08633881922677,4.86,2.85,0
110035,2,7,0.6,0.13,0.13,2,4,108.3333333333333,-0.010000000000000009,0.27,0
110036,5,525,-1.0666666666666667,0.67,0.75,0,0,0,0,0,0
110037,4,7,-0.25,-0.12000000000000001,0,4,0,137.8236293859649,5.7299999999999995,4.05,0
110038,3,30,-0.7666666666666666,-0.27,0,3,8,76.27597402597404,0.25,0.65,0
110039,3,74,-0.23333333333333325,-0.06,0.13,3,13,78.81756756756756,1.9900000000000002,1.33,0
110040,4,0,0,0,0,4,0,92.50394556423967,0.46,0.65,0
110041,1,79,-3.3,-0.1,-0.1,0,0,0,0,0,0
110042,13,4314,-5.680000000000001,8.38,2.68,0,0,0,0,0,0
110043,6,111,-0.7166666666666668,-0.48,0.05,6,7,100.76362656236279,7.1,3.09,0
110044,19,1108,1.394736842105263,2.48,0.98,19,354,129.79403647204268,50.16,8.39,0
110045,1,1,-0.1,-0.01,-0.01,1,0,41.7181818181818,-0.53,-0.53,0
110046,2,58,-0.6,-0.12,-0.03,2,16,75.80120545073375,-0.9400000000000001,-0.39,0
110047,13,6175,-4.607142857142857,17.81,4.55,0,0,0,0,0,0
110048,6,2293,2.9875,8.799999999999999,4.88,0,0,0,0,0,0
110049,1,14,-0.2,-0.05,-0.05,0,0,0,0,0,0
110050,8,1765,-6.7375,-1.2899999999999998,1.37,0,0,0,0,0,0
110051,1,15,-1.3,-0.1,-0.1,0,0,0,0,0,0
110052,3,364,-4.833333333333333,-0.17,0.04,0,0,0,0,0,0
110053,5,93,-1.2799999999999998,-0.74,0.02,5,21,72.81915453116815,-2.35,0.08,0
110054,1,4,-0.3,-0.02,-0.02,0,0,0,0,0,0
110055,8,723,-4.7875,-3.01,0.37,0,0,0,0,0,0
110056,1,2,-0.3,-0.03,-0.03,1,0,34.225,-0.27,-0.27,0
110057,2,33,-2.0999999999999996,-0.5399999999999999,0.04,2,12,46.8892857142857,-1.4500000000000002,-0.54,0
110058,1,26,0.9,0.11,0.11,1,6,74.428,0.14,0.14,0
110059,1,93,-6.5,-0.22,-0.22,0,0,0,0,0,0
110060,3,269,-2.8666666666666667,0.78,0.85,0,0,0,0,0,0
110061,2,3,-0.25,-0.05,0,2,1,180.925,-0.12999999999999998,0.22,0
110062,1,3,0.2,0.02,0.02,1,0,60.4,-0.02,-0.02,0
