Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Will Smith,29,C,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,.248,.327,.433,.760,116,.327,112,206,8,9,0,8,6,*2/HD,AS,smithwi05
2,Freddie Freeman*,34,1B,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,.282,.378,.476,.854,143,.370,142,258,13,10,0,8,9,*3,ASMVP-17,freemfr01
3,Gavin Lux*,26,2B,2.1,139,487,439,59,110,24,2,10,50,5,2,44,110,.251,.320,.383,.703,101,.314,103,168,8,2,0,2,0,*4H/6,,luxga01
4,Miguel Rojas,35,SS,3.4,103,337,307,41,87,21,0,6,36,8,2,23,34,.283,.337,.410,.748,113,.329,112,126,8,3,2,2,0,64H5/13,,rojasmi02
5,Max Muncy*,33,3B,3.0,73,293,237,47,55,17,0,15,48,1,0,45,77,.232,.358,.494,.852,141,.361,136,117,1,5,0,6,3,5/H,,muncyma01
6,Teoscar Hernández,31,LF,4.3,154,652,589,84,160,32,2,33,99,12,3,53,188,.272,.339,.501,.840,137,.368,141,295,7,8,0,1,3,*79,ASMVP-19SS,hernate01
7,Andy Pages,23,CF,1.3,116,443,403,65,100,23,1,13,46,1,2,29,108,.248,.305,.407,.712,102,.310,101,164,8,6,0,4,0,*89/H7D,,pagesan01
8,Jason Heyward*,34,RF,0.8,63,197,173,25,36,10,2,6,28,4,0,17,36,.208,.289,.393,.682,93,.300,90,68,3,4,0,3,0,9/H8,,heywaja01
9,Shohei Ohtani*,29,DH,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,.310,.390,.646,1.036,190,.449,190,411,7,6,0,5,10,*D,ASMVP-1SS,ohtansh01
10,Mookie Betts,31,UT,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,.289,.372,.491,.863,145,.377,145,221,10,1,0,4,2,694/H,ASMVP-13SS,bettsmo01
11,Kiké Hernández,32,3B,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,.229,.281,.373,.654,85,.294,88,135,13,0,1,3,0,5H3784/61D,,hernaen02
12,Chris Taylor,33,UT,-0.1,87,246,213,28,43,7,1,4,23,5,1,28,76,.202,.298,.300,.598,73,.289,82,64,5,2,1,2,0,754H/8,,tayloch03
13,Austin Barnes,34,C,0.7,54,156,140,12,37,3,0,1,11,3,0,14,36,.264,.331,.307,.638,85,.294,85,43,3,0,2,0,0,2/HD4,,barneau01
14,James Outman*,27,CF,-0.4,53,156,136,12,20,4,0,4,11,2,1,16,55,.147,.256,.265,.521,50,.240,50,36,0,4,0,0,0,8H/79,,outmaja01
15,Tommy Edman#,29,UT,0.9,37,153,139,20,33,5,1,6,20,6,0,11,30,.237,.294,.417,.711,101,.321,101,58,2,1,0,2,0,86/H4,,edmanto01
16,Cavan Biggio*,29,CI,-0.2,30,88,73,11,14,1,0,3,10,0,0,10,28,.192,.306,.329,.635,82,.287,83,24,0,2,2,0,0,53/9H4,,biggica01
17,Miguel Vargas,24,LF,0.3,30,80,71,11,17,4,0,3,9,1,0,8,16,.239,.313,.423,.735,108,.319,104,30,1,0,0,1,0,7/H3,,vargami01
18,Kevin Kiermaier*,34,CF,0.1,34,64,59,7,12,2,1,1,8,1,2,2,20,.203,.242,.322,.564,60,.263,74,19,1,1,2,0,0,8/H,,kiermke01
19,Nick Ahmed,34,SS,-0.1,17,49,48,6,11,0,0,1,2,1,0,1,14,.229,.245,.292,.537,53,.241,47,14,0,0,0,0,0,6/H,,ahmedni01
20,Hunter Feduccia*,27,C,0.1,5,14,12,2,4,0,0,0,1,0,0,2,2,.333,.429,.333,.762,123,.354,132,4,1,0,0,0,0,/2H,,feduchu01
21,Amed Rosario,28,IF,0.1,5,12,11,1,3,1,0,0,2,1,1,1,2,.273,.333,.364,.697,100,.281,96,4,0,0,0,0,0,/46H5,,rosaram01
22,Taylor Trammell*,26,OF,-0.2,5,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-123,0,0,0,0,0,0,/H79,,trammta01
